,Country,More than 8 weeks,Between 6 and 8 weeks,Between 4 and 6 weeks,Between 2 and 4 weeks,Less than 2 weeks,Hot summer days,More than 2 weeks,Between 1 and 2 weeks,Less than 1 week,Extreme precipitation events,exposure
0,Belgium,0,0,0,0,0,0,0,0,49.35,49.35,24.675
1,Czech Republic,0,0,0,0,0,0,0,0,96.57,96.57,48.285
2,Denmark,0,0,0,0,0,0,0,0,87.54,87.54,43.77
3,Finland,0,0,0,0,0,0,0,0.61,85.52,86.13,43.065
4,Luxembourg,0,0,0,0,0,0,0,0,77.15,77.15,38.575
5,Netherlands,0,0,0,0,0,0,0,0,81.34,81.34,40.67
6,New Zealand,0,0,0,0,0,0,0,0,77.92,77.92,38.96
7,Norway,0,0,0,0,0,0,0,4.88,85.91,90.79,45.395
8,Sweden,0,0,0,0,0,0,0,0.02,74.6,74.62,37.31
9,Switzerland,0,0,0,0,0,0,0,0,89.25,89.25,44.625
10,United Kingdom,0,0,0,0,0,0,0,0,91.11,91.11,45.555
11,Estonia,0,0,0,0,0,0,0,0,86.71,86.71,43.355
12,Latvia,0,0,0,0,0,0,0,0,65.09,65.09,32.545
13,Lithuania,0,0,0,0,0,0,0,0,92.56,92.56,46.28
14,Costa Rica,0,0,0,0,4.9,0,0,18.52,77.21,95.73,47.865
15,Chile,0,0,0,0,5.6,0,0,0,61.73,61.73,30.865
16,Germany,0,0,0,0,6.2,0,0,0,88.01,88.01,44.005
17,Poland,0,0,0,0,6.8,0,0,1.25,89.54,90.79,45.395
18,Slovenia,0,0,0,0,8.9,0,0,0,82.03,82.03,41.015
19,Peru,0,0.1,0.4,4.9,5,5.4,0,9.61,77.89,87.5,46.45
20,France,0,0,0,0,13.4,0,0.02,0.04,85.51,85.57,42.785
21,Austria,0,0,0,0,16.3,0,0,0,82.51,82.51,41.255
22,Indonesia,0,0,0,0.3,17.2,0.3,2.68,42.13,48.9,93.71,47.005
23,Canada,0,0,0,0,21.5,0,0,0.02,83.93,83.95,41.975
24,Portugal,0,0,0,3.4,19.5,3.4,0,0,88.44,88.44,45.92
25,Colombia,1.9,1.5,1.5,3.7,19.5,8.6,0.1,10.52,86.73,97.35,52.975
26,European Union,0,0.2,0.5,5.3,22.4,6,0,0.2,82.65,82.85,44.425
27,Mexico,8.5,3.3,3.1,7.6,16.1,22.5,0,3.67,80.01,83.68,53.09
28,OECD - Total,2.9,1.1,1.8,4.5,30.5,10.3,0,0.59,76.65,77.24,43.77
29,Slovak Republic,0,0,0,0,45.4,0,0,0,87.01,87.01,43.505
30,Russia,0,0.6,1.6,4,41,6.2,0,0.02,81.43,81.45,43.825
31,South Africa,0.3,0.1,0.9,2.5,49.5,3.8,0,0,78.95,78.95,41.375
32,Italy,0,0,0.2,4.1,51.3,4.3,0,0.21,82.24,82.45,43.375
33,Japan,0,0,0,0,56.2,0,0,0,81.4,81.4,40.7
34,T¨¹rkiye,10.8,3,4.5,7.1,32.9,25.4,0,0,68.83,68.83,47.115
35,Brazil,5,2.6,4.7,7.8,39,20.1,0.02,3.44,90.3,93.76,56.93
36,Romania,0,0,0.4,4.1,54.6,4.5,0,0,67.85,67.85,36.175
37,Australia,0.9,0.2,0.5,2.8,54.8,4.4,0,0,69.04,69.04,36.72
38,United States,5.5,1.8,4.1,6.1,43.3,17.5,0,0.02,70.37,70.39,43.945
39,Spain,0.1,1.6,2.6,26.7,36.3,31,0,0,79.21,79.21,55.105
40,Korea,0,0,0,0,69,0,0,0,89.81,89.81,44.905
41,Croatia,0,0,0,9.3,59.7,9.3,0,0,80.76,80.76,45.03
42,Israel,1.2,2.6,6.1,4.2,63.5,14.1,0,0,68.18,68.18,41.14
43,Greece,0,2.1,3.5,52.3,23.7,57.9,0,0,83.56,83.56,70.73
44,Argentina,1.9,2.5,3.9,12.1,64.8,20.4,0,0,58.91,58.91,39.655
45,Bulgaria,0,0,1.4,11,73.4,12.4,0,0,67.74,67.74,40.07
46,Saudi Arabia,90.5,1.5,0,0.5,2.8,92.5,0,0,10.59,10.59,51.545
47,India,68.9,8.7,5.9,4.2,7.8,87.7,0,0.16,73.91,74.07,80.885
48,Hungary,0,0,0,5.9,90.8,5.9,0,0,92.6,92.6,49.25
