Country,More than 8 weeks,Between 6 and 8 weeks,Between 4 and 6 weeks,Between 2 and 4 weeks,Less than 2 weeks,Hot summer days
Belgium,0,0,0,0,0,0
Czech Republic,0,0,0,0,0,0
Denmark,0,0,0,0,0,0
Finland,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0
New Zealand,0,0,0,0,0,0
Norway,0,0,0,0,0,0
Sweden,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0
Estonia,0,0,0,0,0,0
Latvia,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0
Costa Rica,0,0,0,0,4.9,0
Chile,0,0,0,0,5.6,0
Germany,0,0,0,0,6.2,0
Poland,0,0,0,0,6.8,0
Slovenia,0,0,0,0,8.9,0
Peru,0,0.1,0.4,4.9,5,5.4
France,0,0,0,0,13.4,0
Austria,0,0,0,0,16.3,0
Indonesia,0,0,0,0.3,17.2,0.3
Canada,0,0,0,0,21.5,0
Portugal,0,0,0,3.4,19.5,3.4
Colombia,1.9,1.5,1.5,3.7,19.5,8.6
European Union,0,0.2,0.5,5.3,22.4,6
Mexico,8.5,3.3,3.1,7.6,16.1,22.5
OECD - Total,2.9,1.1,1.8,4.5,30.5,10.3
Slovak Republic,0,0,0,0,45.4,0
Russia,0,0.6,1.6,4,41,6.2
South Africa,0.3,0.1,0.9,2.5,49.5,3.8
Italy,0,0,0.2,4.1,51.3,4.3
Japan,0,0,0,0,56.2,0
T¨¹rkiye,10.8,3,4.5,7.1,32.9,25.4
Brazil,5,2.6,4.7,7.8,39,20.1
Romania,0,0,0.4,4.1,54.6,4.5
Australia,0.9,0.2,0.5,2.8,54.8,4.4
United States,5.5,1.8,4.1,6.1,43.3,17.5
Spain,0.1,1.6,2.6,26.7,36.3,31
Korea,0,0,0,0,69,0
Croatia,0,0,0,9.3,59.7,9.3
China ,1.4,1.3,2.8,14.9,55.5,20.4
Israel,1.2,2.6,6.1,4.2,63.5,14.1
Greece,0,2.1,3.5,52.3,23.7,57.9
Argentina,1.9,2.5,3.9,12.1,64.8,20.4
Bulgaria,0,0,1.4,11,73.4,12.4
Saudi Arabia,90.5,1.5,0,0.5,2.8,92.5
India,68.9,8.7,5.9,4.2,7.8,87.7
Hungary,0,0,0,5.9,90.8,5.9
